date,open,high,low,close,volume
2023-06-12,3225.305,3239.437,3210.714,3228.834,31378444400
2023-06-13,3223.896,3235.085,3215.499,3233.673,28062845400
2023-06-14,3238.119,3248.461,3226.774,3228.989,30353726000
2023-06-15,3230.451,3252.975,3229.145,3252.975,31325575200
2023-06-16,3256.299,3276.552,3255.499,3273.334,32628184600
2023-06-19,3271.164,3271.164,3251.779,3255.806,32775304700
2023-06-20,3252.544,3252.844,3237.786,3240.365,29826059600
2023-06-21,3230.114,3236.363,3197.901,3197.901,29437737200
2023-06-26,3177.229,3181.076,3144.248,3150.619,30812981100
2023-06-27,3153.313,3194.409,3148.266,3189.443,28760432700
2023-06-28,3183.487,3192.659,3157.123,3189.376,27623194800
2023-06-29,3185.424,3196.503,3179.525,3182.381,25034007400
2023-06-30,3178.924,3212.993,3177.991,3202.062,26537987300
2023-07-03,3209.162,3246.861,3209.162,3243.975,31237139500
2023-07-04,3241.231,3246.958,3233.99,3245.349,27924872100
2023-07-05,3240.049,3241.835,3218.602,3222.947,26401642600
2023-07-06,3215.863,3229.48,3199.716,3205.575,24611903200
2023-07-07,3197.472,3212.047,3189.211,3196.609,25568846900
2023-07-10,3208.735,3216.535,3192.658,3203.696,23656036700
2023-07-11,3211.122,3221.68,3200.385,3221.367,22760046700
2023-07-12,3220.376,3224.331,3193.437,3196.134,27142338600
2023-07-13,3202.699,3238.468,3202.699,3236.48,27662050800
2023-07-14,3240.97,3248.385,3233.999,3237.701,27332749400
2023-07-17,3219.016,3219.016,3195.886,3209.63,25020837600
2023-07-18,3206.786,3210.248,3190.005,3197.82,23503025900
2023-07-19,3195.009,3204.361,3181.561,3198.836,21735586000
2023-07-20,3201.911,3209.055,3165.674,3169.522,23893289100
2023-07-21,3163.421,3185.636,3157.334,3167.745,22533136300
2023-07-24,3157.469,3178.734,3151.125,3164.161,21659521100
2023-07-25,3201.458,3231.749,3201.458,3231.521,34861771400
2023-07-26,3228.087,3229.892,3212.88,3223.028,31720605100
2023-07-27,3225.476,3245.603,3210.47,3216.671,32711886700
2023-07-28,3206.741,3280.278,3200.994,3275.926,41106843400
2023-07-31,3287.209,3322.129,3281.013,3291.04,45903099400
2023-08-01,3288.76,3305.34,3279.566,3290.949,45989083300
2023-08-02,3281.858,3290.82,3252.304,3261.69,40534149900
2023-08-03,3254.565,3280.864,3247.272,3280.463,38469131700
2023-08-04,3296.094,3315.049,3281.734,3288.084,47092769700
2023-08-07,3276.776,3276.776,3258.537,3268.831,36034148400
2023-08-08,3260.722,3274.519,3246.675,3260.62,31652073300
2023-08-09,3251.152,3257.082,3240.289,3244.487,27121853800
2023-08-10,3242.206,3257.03,3234.116,3254.56,28741214200
2023-08-11,3254.475,3254.475,3189.248,3189.248,33013775000
2023-08-14,3159.714,3180.507,3141.655,3178.427,29984032700
2023-08-15,3180.558,3186.234,3147.346,3176.176,27325192200
2023-08-16,3164.702,3176.626,3149.723,3150.128,28172829200
2023-08-17,3137.351,3167.446,3123.25,3163.739,29469258600
2023-08-18,3165.1,3179.116,3131.953,3131.953,29439035200
2023-08-21,3125.99,3134.957,3092.978,3092.978,26575342300
2023-08-22,3103.781,3126.784,3074.531,3120.334,30931633500
2023-08-23,3116.266,3116.377,3077.606,3078.402,27224412400
2023-08-24,3085.911,3106.182,3072.951,3082.244,30002463700
2023-08-25,3068.615,3085.047,3053.037,3064.075,29334768600
2023-08-28,3219.043,3219.043,3089.119,3098.636,48560776400
2023-08-29,3091.938,3145.761,3090.438,3135.887,39887578000
2023-08-30,3144.407,3153.689,3126.902,3137.138,34751186700
2023-08-31,3134.553,3139.98,3113.946,3119.876,31344824200
2023-09-01,3126.023,3143.846,3123.19,3133.247,29231099200
2023-09-04,3145.944,3177.06,3143.379,3177.06,36639114000
2023-09-05,3169.738,3169.738,3150.075,3154.369,29406184900
2023-09-06,3147.136,3162.155,3136.9,3158.077,26700223000
2023-09-07,3152.203,3152.266,3120.823,3122.352,26926473300
2023-09-08,3114.23,3126.041,3104.674,3116.719,22812506400
2023-09-11,3119.61,3155.103,3113.816,3142.779,29044291700
2023-09-12,3140.341,3147.514,3134.318,3137.059,23467205100
2023-09-13,3137.772,3143.758,3106.969,3123.067,24970103800
2023-09-14,3124.848,3135.025,3111.859,3126.551,26399013800
